name,url,group,country,language,quality,category,tags
Arena Sport 2 HD,http://31.47.28.102:8000/play/a003,Sports,Bosnia,Bosnian,HD,Sports,sports
Arena Sport 3 HD,http://31.47.28.102:8000/play/a004,Sports,Bosnia,Bosnian,HD,Sports,sports
Arena Sport 4 HD,http://31.47.28.102:8000/play/a005,Sports,Bosnia,Bosnian,HD,Sports,sports
Arena Sport 5 HD,http://31.47.28.102:8000/play/a006,Sports,Bosnia,Bosnian,HD,Sports,sports
Arena Sport 6 HD,http://31.47.28.102:8000/play/a007,Sports,Bosnia,Bosnian,HD,Sports,sports
Arena Sport Premium 1 HD,http://31.47.28.102:8000/play/a008,Sports,Bosnia,Bosnian,HD,Sports,"sports,premium"
Arena Sport Premium 2 HD,http://31.47.28.102:8000/play/a00a,Sports,Bosnia,Bosnian,HD,Sports,"sports,premium"
Arena Sport Premium 3 HD,http://31.47.28.102:8000/play/a00b,Sports,Bosnia,Bosnian,HD,Sports,"sports,premium"
BNT 1,http://213.169.39.30:5086/,General,Bulgaria,Bulgarian,,General,"public,general"
BNT 2,http://213.169.39.30:5124/,General,Bulgaria,Bulgarian,,General,"public,general"
BNT 3,http://213.169.39.30:5144/,Culture,Bulgaria,Bulgarian,,Culture,"culture,public"
TV Cultura,https://player-tvcultura.stream.uol.com.br/live/tvcultura.m3u8,General,Brazil,Portuguese,,General,"public,general"
SBT,http://143.244.35.74:8880/IgorRangelXX/IgorRangel3/7179,General,Brazil,Portuguese,,General,general
Globo,http://200.77.176.130:8000/udp/224.0.0.1:49152,General,Brazil,Portuguese,,General,general
Record,http://200.77.176.130:8000/udp/224.0.0.4:49152,General,Brazil,Portuguese,,General,general
BAND,http://143.244.35.74:8880/IgorRangelXX/IgorRangel3/7188,General,Brazil,Portuguese,,General,general
Rede TV!,http://143.244.35.74:8880/IgorRangelXX/IgorRangel3/26406,General,Brazil,Portuguese,,General,general
Adult Swim,http://143.244.35.74:8880/IgorRangelXX/IgorRangel3/60667,Entertainment,Brazil,Portuguese,,Entertainment,"animation,adult"
TNT,http://143.244.35.74:8880/IgorRangelXX/IgorRangel3/36121,Entertainment,Brazil,Portuguese,,Entertainment,"movies,series"
TNT Series,http://143.244.35.74:8880/IgorRangelXX/IgorRangel3/60668,Entertainment,Brazil,Portuguese,,Entertainment,series
TNT Novelas,http://143.244.35.74:8880/IgorRangelXX/IgorRangel3/60678,Entertainment,Brazil,Portuguese,,Entertainment,telenovela
AMC,http://143.244.35.74:8880/IgorRangelXX/IgorRangel3/26421,Entertainment,Brazil,Portuguese,,Entertainment,"movies,series"
TLC,http://143.244.35.74:8880/IgorRangelXX/IgorRangel3/60671,Lifestyle,Brazil,Portuguese,,Lifestyle,lifestyle
HGTV,http://143.244.35.74:8880/IgorRangelXX/IgorRangel3/26424,Lifestyle,Brazil,Portuguese,,Lifestyle,"home,garden"
Investigation Discovery,http://143.244.35.74:8880/IgorRangelXX/IgorRangel3/60760,Entertainment,Brazil,Portuguese,,Entertainment,"crime,documentary"
Discovery Turbo,http://143.244.35.74:8880/IgorRangelXX/IgorRangel3/7146,Entertainment,Brazil,Portuguese,,Entertainment,"cars,documentary"
Paramount Network,http://143.244.35.74:8880/IgorRangelXX/IgorRangel3/60725,Entertainment,Brazil,Portuguese,,Entertainment,"movies,series"
Discovery Theater,http://143.244.35.74:8880/IgorRangelXX/IgorRangel3/60776,Documentary,Brazil,Portuguese,,Documentary,documentary
Discovery World,http://143.244.35.74:8880/IgorRangelXX/IgorRangel3/7145,Documentary,Brazil,Portuguese,,Documentary,documentary
Discovery Home and Health,http://143.244.35.74:8880/IgorRangelXX/IgorRangel3/22263,Lifestyle,Brazil,Portuguese,,Lifestyle,"health,lifestyle"
Discovery Kids,http://143.244.35.74:8880/IgorRangelXX/IgorRangel3/26426,Kids,Brazil,Portuguese,,Kids,kids
Discovery Science,http://143.244.35.74:8880/IgorRangelXX/IgorRangel3/60773,Documentary,Brazil,Portuguese,,Documentary,"science,documentary"
Food Network,http://143.244.35.74:8880/IgorRangelXX/IgorRangel3/13723,Lifestyle,Brazil,Portuguese,,Lifestyle,"food,lifestyle"
CNN Brasil,http://143.244.35.74:8880/IgorRangelXX/IgorRangel3/28739,News,Brazil,Portuguese,,News,news
TV Brasil,https://tvbrasil-stream.ebc.com.br/index.m3u8,General,Brazil,Portuguese,,General,"public,general"
Canal Gov,https://canalgov-stream.ebc.com.br/index.m3u8,General,Brazil,Portuguese,,General,"government,public"
Gloob,http://143.244.35.74:8880/IgorRangelXX/IgorRangel3/7155,Kids,Brazil,Portuguese,,Kids,kids
Gloobinho,http://143.244.35.74:8880/IgorRangelXX/IgorRangel3/22196,Kids,Brazil,Portuguese,,Kids,kids
GNT,http://143.244.35.74:8880/IgorRangelXX/IgorRangel3/13770,Lifestyle,Brazil,Portuguese,,Lifestyle,lifestyle
Multishow,http://143.244.35.74:8880/IgorRangelXX/IgorRangel3/46178,Entertainment,Brazil,Portuguese,,Entertainment,entertainment
Globo News,http://143.244.35.74:8880/IgorRangelXX/IgorRangel3/7156,News,Brazil,Portuguese,,News,news
